	Terms
ACAA1	R-HSA-1430728,R-HSA-168249,R-HSA-168256,R-HSA-2046104,R-HSA-2046106,R-HSA-390247,R-HSA-390918,R-HSA-556833,R-HSA-6798695,R-HSA-8978868,R-HSA-9033241,R-HSA-9033241,R-HSA-9033500,R-HSA-9609507,R-HSA-9609507
ACAA2	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACACA	R-HSA-1430728,R-HSA-163685,R-HSA-163765,R-HSA-1643685,R-HSA-1655829,R-HSA-196780,R-HSA-196849,R-HSA-196854,R-HSA-200425,R-HSA-2426168,R-HSA-3296482,R-HSA-3323169,R-HSA-3371599,R-HSA-556833,R-HSA-5668914,R-HSA-75105,R-HSA-8957322,R-HSA-8978868
ACACB	R-HSA-1430728,R-HSA-163685,R-HSA-163765,R-HSA-1655829,R-HSA-196780,R-HSA-196849,R-HSA-196854,R-HSA-200425,R-HSA-2426168,R-HSA-556833,R-HSA-8957322,R-HSA-8978868
ACAD10	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACAD11	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACAD8	R-HSA-1430728,R-HSA-70895,R-HSA-71291
ACAD9	R-HSA-1428517,R-HSA-1430728,R-HSA-163200,R-HSA-611105,R-HSA-6799198
ACADL	R-HSA-1430728,R-HSA-556833,R-HSA-77285,R-HSA-77286,R-HSA-77288,R-HSA-77289,R-HSA-77310,R-HSA-8978868
ACADM	R-HSA-1430728,R-HSA-1989781,R-HSA-400206,R-HSA-556833,R-HSA-77286,R-HSA-77288,R-HSA-77289,R-HSA-77346,R-HSA-77348,R-HSA-8978868
ACADS	R-HSA-1430728,R-HSA-556833,R-HSA-77286,R-HSA-77289,R-HSA-77350,R-HSA-77352,R-HSA-8978868
ACADSB	R-HSA-1430728,R-HSA-70895,R-HSA-71291
ACADVL	R-HSA-1430728,R-HSA-2262752,R-HSA-381038,R-HSA-381070,R-HSA-381119,R-HSA-556833,R-HSA-77286,R-HSA-77289,R-HSA-77305,R-HSA-8953897,R-HSA-8978868
ACAN	R-HSA-1430728,R-HSA-1474228,R-HSA-1474228,R-HSA-1474244,R-HSA-1474244,R-HSA-1630316,R-HSA-1638074,R-HSA-1643685,R-HSA-2022854,R-HSA-2022857,R-HSA-3000178,R-HSA-3560782,R-HSA-3656225,R-HSA-3656243,R-HSA-3656244,R-HSA-3781865,R-HSA-5668914,R-HSA-71387
ACAT1	R-HSA-1430728,R-HSA-556833,R-HSA-70895,R-HSA-71291,R-HSA-74182,R-HSA-77108,R-HSA-77111
ACAT2	R-HSA-1430728,R-HSA-191273,R-HSA-556833,R-HSA-8957322
ACBD3	R-HSA-199991,R-HSA-199992,R-HSA-432722,R-HSA-5653656
ACBD4	R-HSA-1430728,R-HSA-390918,R-HSA-556833,R-HSA-8978868
ACBD5	R-HSA-1430728,R-HSA-162582,R-HSA-194315,R-HSA-390918,R-HSA-556833,R-HSA-8978868,R-HSA-8980692,R-HSA-9012999,R-HSA-9013106,R-HSA-9603798,R-HSA-9609507,R-HSA-9716542
ACBD6	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACBD7	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACD	R-HSA-110328,R-HSA-110329,R-HSA-110330,R-HSA-110330,R-HSA-110331,R-HSA-110331,R-HSA-1221632,R-HSA-1474165,R-HSA-1500620,R-HSA-157579,R-HSA-1640170,R-HSA-1640170,R-HSA-171306,R-HSA-171319,R-HSA-174411,R-HSA-174414,R-HSA-174417,R-HSA-174430,R-HSA-174437,R-HSA-180786,R-HSA-2262752,R-HSA-2559583,R-HSA-2559586,R-HSA-73884,R-HSA-73884,R-HSA-73886,R-HSA-73894,R-HSA-73894,R-HSA-73927,R-HSA-73927,R-HSA-73928,R-HSA-73929,R-HSA-73929,R-HSA-8953897,R-HSA-9670095
ACE	R-HSA-2022377,R-HSA-2980736,R-HSA-392499
ACE2	R-HSA-1643685,R-HSA-1643685,R-HSA-2022377,R-HSA-2980736,R-HSA-392499,R-HSA-5663205,R-HSA-5663205,R-HSA-9678108,R-HSA-9678110,R-HSA-9679191,R-HSA-9679506,R-HSA-9679506,R-HSA-9694516,R-HSA-9694516,R-HSA-9694614,R-HSA-9694614
ACER1	R-HSA-1430728,R-HSA-1660661,R-HSA-428157,R-HSA-556833
ACER2	R-HSA-1430728,R-HSA-1660661,R-HSA-428157,R-HSA-556833
ACER3	R-HSA-1430728,R-HSA-1660661,R-HSA-428157,R-HSA-556833
ACHE	R-HSA-112311,R-HSA-112315,R-HSA-112316,R-HSA-1430728,R-HSA-1483191,R-HSA-1483206,R-HSA-1483257,R-HSA-2980736,R-HSA-392499,R-HSA-422085,R-HSA-556833
ACIN1	R-HSA-109581,R-HSA-111465,R-HSA-5357801,R-HSA-75153
ACKR1	R-HSA-162582,R-HSA-372790,R-HSA-373076,R-HSA-375276,R-HSA-500792
ACKR2	R-HSA-162582,R-HSA-372790,R-HSA-373076,R-HSA-375276,R-HSA-380108,R-HSA-500792
ACKR3	R-HSA-162582,R-HSA-372790,R-HSA-373076,R-HSA-375276,R-HSA-380108,R-HSA-388396,R-HSA-418594,R-HSA-500792
ACKR4	R-HSA-162582,R-HSA-372790,R-HSA-373076,R-HSA-375276,R-HSA-380108,R-HSA-500792
ACLY	R-HSA-1430728,R-HSA-163685,R-HSA-163765,R-HSA-168249,R-HSA-168256,R-HSA-556833,R-HSA-6798695,R-HSA-75105,R-HSA-8978868
ACMSD	R-HSA-1430728,R-HSA-71240,R-HSA-71291
ACO1	R-HSA-382551,R-HSA-917937
ACO2	R-HSA-1268020,R-HSA-1428517,R-HSA-1430728,R-HSA-71403,R-HSA-71406,R-HSA-9609507
ACOT1	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACOT11	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACOT12	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACOT13	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACOT2	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868,R-HSA-9033241,R-HSA-9033241,R-HSA-9609507,R-HSA-9609507
ACOT4	R-HSA-1430728,R-HSA-390247,R-HSA-390918,R-HSA-556833,R-HSA-8978868,R-HSA-9033241,R-HSA-9033241,R-HSA-9609507,R-HSA-9609507
ACOT6	R-HSA-1430728,R-HSA-390247,R-HSA-390918,R-HSA-556833,R-HSA-8978868
ACOT7	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACOT8	R-HSA-1430728,R-HSA-192105,R-HSA-193368,R-HSA-194068,R-HSA-2046104,R-HSA-2046106,R-HSA-389887,R-HSA-390247,R-HSA-390918,R-HSA-556833,R-HSA-8957322,R-HSA-8978868,R-HSA-9033241,R-HSA-9033241,R-HSA-9609507,R-HSA-9609507
ACOT9	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACOX1	R-HSA-1430728,R-HSA-1989781,R-HSA-2046104,R-HSA-2046106,R-HSA-390247,R-HSA-390918,R-HSA-400206,R-HSA-556833,R-HSA-8978868,R-HSA-9033241,R-HSA-9033241,R-HSA-9033500,R-HSA-9609507,R-HSA-9609507
ACOX2	R-HSA-1430728,R-HSA-192105,R-HSA-193368,R-HSA-194068,R-HSA-389887,R-HSA-390918,R-HSA-556833,R-HSA-8957322,R-HSA-8978868,R-HSA-9033241,R-HSA-9033241,R-HSA-9609507,R-HSA-9609507
ACOX3	R-HSA-1430728,R-HSA-389887,R-HSA-390918,R-HSA-556833,R-HSA-8978868,R-HSA-9033241,R-HSA-9033241,R-HSA-9609507,R-HSA-9609507
ACOXL	R-HSA-1430728,R-HSA-389887,R-HSA-390918,R-HSA-556833,R-HSA-8978868
ACP3	R-HSA-168249,R-HSA-168256,R-HSA-6798695
ACP5	R-HSA-1430728,R-HSA-196843,R-HSA-196849,R-HSA-196854
ACP6	R-HSA-1430728,R-HSA-1483166,R-HSA-1483206,R-HSA-1483257,R-HSA-556833
ACR	R-HSA-1187000,R-HSA-1300645,R-HSA-1474165
ACSBG1	R-HSA-1430728,R-HSA-556833,R-HSA-75105,R-HSA-75876,R-HSA-8978868
ACSBG2	R-HSA-1430728,R-HSA-556833,R-HSA-75105,R-HSA-75876,R-HSA-8978868
ACSF2	R-HSA-1430728,R-HSA-556833,R-HSA-77289,R-HSA-8978868
ACSF3	R-HSA-1430728,R-HSA-556833,R-HSA-75105,R-HSA-75876,R-HSA-8978868
ACSL1	R-HSA-1430728,R-HSA-1989781,R-HSA-2046104,R-HSA-2046105,R-HSA-2046106,R-HSA-400206,R-HSA-556833,R-HSA-75105,R-HSA-75876,R-HSA-8978868
ACSL3	R-HSA-1430728,R-HSA-163685,R-HSA-400451,R-HSA-422356,R-HSA-434313,R-HSA-556833,R-HSA-75105,R-HSA-75876,R-HSA-8978868
ACSL4	R-HSA-1430728,R-HSA-163685,R-HSA-400451,R-HSA-422356,R-HSA-434313,R-HSA-556833,R-HSA-75105,R-HSA-75876,R-HSA-8978868
ACSL5	R-HSA-1430728,R-HSA-556833,R-HSA-75105,R-HSA-75876,R-HSA-8978868
ACSL6	R-HSA-1430728,R-HSA-556833,R-HSA-75105,R-HSA-75876,R-HSA-8978868
ACSM1	R-HSA-1430728,R-HSA-156580,R-HSA-156587,R-HSA-159424,R-HSA-177135,R-HSA-177162,R-HSA-211859
ACSM2A	R-HSA-1430728,R-HSA-156580,R-HSA-156587,R-HSA-159424,R-HSA-177128,R-HSA-211859
