	Genes
R-HSA-111885	CDK5,CAMKK2,CAMKK2,GNB5,ADCY1,ADCY1,AHCYL1,ADCY2,ADCY2,ADCY3,ADCY3,ADCY5,ADCY5,ADCY6,ADCY6,ADCY7,ADCY7,ADCY8,ADCY8,ADCY9,ADCY9,CREB1,GRK2,ADCY4,ADCY4,PLCB1,PLCB1,NBEA,GNA11,GNA11,GNA15,GNA15,GNAI1,GNAI1,GNAI2,GNAI2,GNAI3,GNAI3,GNAL,GNAQ,GNAQ,GNB1,GNB2,GNB3,GNG3,GNG4,GNG5,GNG7,GNG10,GNG11,GNGT1,GNGT2,GNAT3,GNAT3,ITPR1,ITPR2,ITPR3,KPNA2,OPRM1,PDE1A,PDE1C,PDE4A,PDE4B,PDE4C,PDE4D,PDE1B,PDYN,GNG13,PLA2G4A,PLCB2,PLCB2,PLCB3,PLCB3,PLCB4,PLCB4,GNG2,POMC,PPP1CA,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PRKACA,PRKACA,PRKACB,PRKACB,PRKACG,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,MAPK1,GNG12,PRKX,GNB4,CALM1,CALM1,CALM2,CALM2,CALM3,CALM3,CAMK4,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,PPP1R1B,PPP1R1B,CAMKK1,CAMKK1,GNG8,GNA14,GNA14
R-HSA-111931	ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,CREB1,ADCY4,NBEA,PRKACA,PRKACA,PRKACB,PRKACB,PRKACG,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2A,PRKAR2B,PRKX,CALM1,CALM2,CALM3
R-HSA-111932	CAMKK2,CAMKK2,CREB1,KPNA2,CALM1,CALM1,CALM2,CALM2,CALM3,CALM3,CAMK4,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMKK1,CAMKK1
R-HSA-111933	CAMKK2,CAMKK2,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,CREB1,GRK2,ADCY4,NBEA,KPNA2,PDE1A,PDE1C,PDE1B,PRKACA,PRKACA,PRKACB,PRKACB,PRKACG,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,PRKX,CALM1,CALM1,CALM2,CALM2,CALM3,CALM3,CAMK4,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMKK1,CAMKK1
R-HSA-111957	PDE1A,PDE1C,PDE1B,CALM1,CALM2,CALM3
R-HSA-111995	PLA2G4A,MAPK1
R-HSA-111996	CAMKK2,CAMKK2,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,CREB1,GRK2,ADCY4,NBEA,KPNA2,PDE1A,PDE1C,PDE1B,PLA2G4A,PRKACA,PRKACA,PRKACB,PRKACB,PRKACG,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,MAPK1,PRKX,CALM1,CALM1,CALM2,CALM2,CALM3,CALM3,CAMK4,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMKK1,CAMKK1
R-HSA-111997	CAMKK2,CAMKK2,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,CREB1,GRK2,ADCY4,NBEA,KPNA2,PDE1A,PDE1C,PDE1B,PRKACA,PRKACA,PRKACB,PRKACB,PRKACG,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,PRKX,CALM1,CALM1,CALM2,CALM2,CALM3,CALM3,CAMK4,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMKK1,CAMKK1
R-HSA-112040	CAMKK2,CAMKK2,ADCY1,ADCY1,AHCYL1,ADCY2,ADCY2,ADCY3,ADCY3,ADCY5,ADCY5,ADCY6,ADCY6,ADCY7,ADCY7,ADCY8,ADCY8,ADCY9,ADCY9,CREB1,GRK2,ADCY4,ADCY4,PLCB1,PLCB1,NBEA,GNA11,GNA11,GNA15,GNA15,GNAI1,GNAI1,GNAI2,GNAI2,GNAI3,GNAI3,GNAL,GNAQ,GNAQ,GNAT3,GNAT3,ITPR1,ITPR2,ITPR3,KPNA2,PDE1A,PDE1C,PDE1B,PLA2G4A,PLCB2,PLCB2,PLCB3,PLCB3,PLCB4,PLCB4,PRKACA,PRKACA,PRKACB,PRKACB,PRKACG,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,MAPK1,PRKX,CALM1,CALM1,CALM2,CALM2,CALM3,CALM3,CAMK4,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMKK1,CAMKK1,GNA14,GNA14
R-HSA-112043	CAMKK2,CAMKK2,ADCY1,AHCYL1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,CREB1,GRK2,ADCY4,PLCB1,PLCB1,NBEA,GNA11,GNA11,GNA15,GNA15,GNAQ,GNAQ,ITPR1,ITPR2,ITPR3,KPNA2,PDE1A,PDE1C,PDE1B,PLA2G4A,PLCB2,PLCB2,PLCB3,PLCB3,PLCB4,PLCB4,PRKACA,PRKACA,PRKACB,PRKACB,PRKACG,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCG,MAPK1,PRKX,CALM1,CALM1,CALM2,CALM2,CALM3,CALM3,CAMK4,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMKK1,CAMKK1,GNA14,GNA14
