	Terms
CYP3A4	hsa00140,hsa00591,hsa00830,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
CYP1B1	hsa00140,hsa00380,hsa00980,hsa04913,hsa05204,hsa05206,hsa05207,hsa05208
CYP19A1	hsa00140,hsa04913
COMT	hsa00140,hsa00350,hsa04728
LRTOMT	hsa00140,hsa00350,hsa04728
HSD17B3	hsa00140
ND1	hsa00190,hsa04714,hsa04723,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
ND2	hsa00190,hsa04714,hsa04723,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
ND3	hsa00190,hsa04714,hsa04723,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
ND4	hsa00190,hsa04714,hsa04723,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
ND4L	hsa00190,hsa04714,hsa04723,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
ND5	hsa00190,hsa04714,hsa04723,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
ND6	hsa00190,hsa04714,hsa04723,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFS1	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFS2	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFS3	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFS4	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFS5	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
